ID,Latitude,Longitude,X2018,X1980,pop_growth,pop_growth_rate,urban_cluster,multiGHS,Country.Co,Country.or,City.Code,Urban.Aggl,Continent,pop_mean,pop_sum,Area,plain_area,plain_perc,disc,alti,clim,prec,clco,biom,popd,hdev,pop_den
1064366_21673,36.686,137.2194,416.9,183.57,1.271068257340524,3.34491646668559,1,1,392,Japan,21673,Toyama,AS,26.606329335712758,250099.496,93820430.77,14882880.58,15.863,11.625,366,11,1861,4,4,432.86,901,0.002665725300421151
1064367_21526,36.6736,48.4787,447.86,132.964,2.3682801359766557,6.232316147306989,1,1,364,Iran (Islamic Republic of),21526,Zanjan,AS,64.0463911889352,358659.791,55893585.18,1718537.874,3.075,18.641,1794,9,377,14,8,69.022,774,0.006416832805499417
1064456_21731,36.6372,127.4897,709.376,248.441,1.855309711360041,4.882393977263265,1,1,410,Republic of Korea,21731,Cheongju,AS,78.49688923475571,690772.625,87828271.43,3668301.67,4.177,214.015,229,11,1284,4,4,363.549,901,0.00786503723405911
1069267_21645,36.6514,138.1811,375.462,175.55,1.138775277698661,2.9967770465754238,1,1,392,Japan,21645,Nagano,AS,30.25225546183666,290421.652,95817582.6,48896366.45,51.031,485.866,914,10,1631,4,4,182.575,904,0.003030984962461368
1069299_20749,36.5967,109.4838,614.248,67.751,8.066257324615135,21.226992959513513,1,1,156,China,20749,Yan'an,AS,99.14391441491745,208202.22,20958999.55,1646895.025,7.858,935.161,1126,9,515,16,4,83.255,737,0.009933786176354013
1069496_20523,36.6006,114.4678,2528.083,337.681,6.486601259768835,17.070003315181147,1,1,156,China,20523,Handan,AS,94.97731584571987,1709591.685,179648686.3,62392827.48,34.73,22.36,158,11,516,16,4,732.329,734,0.00951630496281564
1069884_21519,36.5633,53.0601,314.775,91.241,2.449929308096141,6.447182389726687,1,1,364,Iran (Islamic Republic of),21519,Sari,AS,43.59084187607792,270263.22,61878033.56,3994899.378,6.456,1.898,1407,11,445,2,4,130.897,774,0.004367676289162282
1071153_20736,36.6167,101.7667,1451.555,427.437,2.39595074829741,6.305133548151079,1,1,156,China,20736,Xining,AS,97.41282237601278,1305331.82,133737808.1,36084291.85,26.981,45.475,3016,7,442,13,10,196.907,678,0.009760379944495292
1073035_20567,36.6767,116.9971,5051.675,1260,3.009265873015873,7.919120718462825,1,1,156,China,20567,"Ji'nan, Shandong",AS,68.32028174887662,3757615.496,548934287.1,173928657.5,31.685,1490.638,91,11,604,16,4,831.836,766,0.006845292021839894
1074144_21675,36.5658,139.8836,522.406,256.101,1.0398436554328174,2.7364306721916245,1,1,392,Japan,21675,Utsunomiya,AS,32.69104428460155,356332.383,108786625.6,1096149.654,1.008,244.644,441,11,1495,16,4,537.426,898,0.0032755164620162647
1074146_20801,36.7906,118.0633,2554.625,526.6,3.851167869350551,10.134652287764608,1,1,156,China,20801,Zibo,AS,37.834494244487175,1710119.14,451129428,57177520.05,12.674,30.685,123,11,639,16,4,763.197,766,0.003790750578124555
1078714_23854,36.4551,115.9826,726.082,101.855,6.128584752834912,16.127854612723453,1,1,156,China,23854,Liaocheng,AS,42.80844780864752,539386.442,125750116.8,125750116.8,100,16.512,22,11,552,16,4,508.267,764,0.004289351419512956
1078716_23578,36.4342,119.1925,602.414,44.367,12.577974620776704,33.09993321257028,1,1,156,China,23578,Anqiu,AS,57.420006711137844,620136.072,107784558.2,13614913.78,12.632,27.598,121,11,746,16,4,489.385,766,0.005753477885480631
1083498_23623,36.3833,119.7528,657.351,64.499,9.191646382114453,24.188543110827506,1,1,156,China,23623,Gaomi,AS,40.34516327647619,443796.796,109777579.1,13749793.88,12.525,8.341,30,11,674,16,4,498.56,766,0.00404269068090608
1084665_23172,36.3241,-119.3073,361.103,59.471,5.071917405121824,13.347151066110063,1,1,840,United States of America,23172,Visalia,"NA",15.511340858505553,111681.654,71854174.18,4193695.882,5.836,84.166,836,12,372,4,8,37.254,951,0.0015542820618914806
1087679_21764,36.3214,127.4197,1558.244,640.557,1.4326390937886868,3.7701028783912816,1,1,410,Republic of Korea,21764,Daejon,AS,73.33966283432197,1518131.021,206584882.5,7057107.826,3.416,214.015,229,11,1284,4,4,363.549,901,0.007348703364100226
1087681_21536,36.335,43.1189,1527.315,489.305,2.1213966748755886,5.58262282861997,1,1,368,Iraq,21536,Al-Mawsil (Mosul),AS,145.49199017526786,1469469.101,100799838.3,44165876.01,43.815,822.444,405,14,577,14,8,161.027,644,0.014578089863860427
1087683_20019,36.3549,6.6073,417.758,375.749,0.11180069674170777,0.2942123598465994,1,1,12,Algeria,20019,Qacentina,AF,46.505542246537296,548765.399,117763766.6,17073125.6,14.498,46.198,744,11,683,12,12,269.371,745,0.00465988321232925
1088427_23669,36.2839,120.0033,517.803,91.364,4.667472965281729,12.282823592846656,1,1,156,China,23669,Jiaozhou,AS,31.499386037909446,475640.729,150695035.6,55362565.03,36.738,24.939,70,11,701,16,4,468.996,766,0.00315631319310694
1092265_21669,36.3333,139.0167,370.653,132.638,1.794470664515448,4.722291222409074,2,1,392,Japan,21669,Takasaki,AS,18.355901301742968,1204147.125,654678582.8,51311068.99,7.838,244.644,441,11,1495,16,4,537.426,898,0.001839295123799489
1092319_23837,36.2074,117.672,853.214,214.209,2.983091280011578,7.850240210556785,1,1,156,China,23837,Laiwu,AS,32.38102804797318,385334.234,118754094.1,1992252.214,1.678,60.614,197,11,691,16,4,694.52,766,0.003244807995213363
1096879_22608,36.2136,37.1571,1753.516,1070.416,0.6381631066800199,1.679376596526368,1,1,760,Syrian Arab Republic,22608,Halab (Aleppo),AS,85.01692960561766,2507999.423,294395851.6,17424362.47,5.919,34.537,431,12,293,14,12,255.775,546,0.008519139822688995
1101361_21746,36.1191,128.3455,378.448,102.942,2.6763225894192844,7.042954182682328,1,1,410,Republic of Korea,21746,Gumi,AS,41.9372690279546,322916.972,76840720.47,19542856.48,25.433,296.535,298,11,1243,4,4,273.065,901,0.0042024198891533375
1101363_20453,36.0944,114.3503,1327.943,308.349,3.306623339138444,8.7016403661538,1,1,156,China,20453,Anyang,AS,71.63959611887812,1626218.832,226531109.3,75010121.15,33.113,33.217,315,11,596,16,4,734.109,722,0.0071787881012243815
1101370_20600,36.0889,111.5189,790.779,95.647,7.26768220644662,19.125479490649,1,1,156,China,20600,Linfen,AS,83.48211612847975,826472.95,98796427.75,32746664.35,33.146,56.541,948,9,536,16,4,339.856,736,0.008365413292992266
1103782_23077,36.161,-86.783,1198.626,519.626,1.3067090561288313,3.4387080424442926,1,1,840,United States of America,23077,Nashville-Davidson,"NA",13.515719651799882,312213.124,230525974.8,45861622.78,19.894,620.574,208,11,1296,2,4,169.687,810,0.001354351171363098
1105608_20592,36.0564,103.7922,2935.812,1033.17,1.8415575365138357,4.846204043457463,1,1,156,China,20592,Lanzhou,AS,104.74279453315599,2587147.025,246483216.2,159569601.8,64.739,754.464,2187,8,360,13,10,261.283,674,0.010496240128986114
1105613_21755,36.0172,129.3602,355.115,171.277,1.073337342433602,2.8245719537726366,1,1,410,Republic of Korea,21755,Pohang,AS,36.44477957854733,397248.097,108774193.9,15310331.8,14.075,1.812,457,10,1073,2,4,330.848,758,0.0036520435845767275
1107455_23769,35.9947,119.3975,819.713,41.292,18.851617746779034,49.60952038626061,1,1,156,China,23769,Zhucheng,AS,48.236331777193115,482363.318,99790220.14,18115792.89,18.154,27.598,121,11,746,16,4,489.385,766,0.004833773463203826
1107558_23167,36.1313,-95.9373,748.293,444.103,0.6849537156920804,1.8025097781370538,1,1,840,United States of America,23167,Tulsa,"NA",12.772603651321,510904.146,399173375.5,65838961.68,16.494,286.32,222,11,1008,16,8,134.813,809,0.0012799053678368387
1110071_22607,35.95,39.0167,505.731,79.459,5.364678639298254,14.117575366574354,1,1,760,Syrian Arab Republic,22607,Al-Raqqa,AS,56.572305102053576,209317.529,36918262.55,30437594.89,82.446,736.887,348,12,228,14,8,83.896,536,0.005669755685726333
1112362_23032,35.9607,-83.9277,707.333,285.183,1.4802775761528562,3.8954673056654108,1,1,840,United States of America,23032,Knoxville,"NA",10.21344563765482,145030.928,141702353.3,13750702.52,9.704,782.609,703,11,1559,6,4,66.772,866,0.001023489904172255
1118230_21738,35.8219,127.1489,662.721,363.029,0.825531844563382,2.172452222535216,1,1,410,Republic of Korea,21738,Jeonju,AS,69.94601548748828,636508.741,90811106.49,5907661.263,6.505,3.271,73,11,1223,16,4,363.637,901,0.007009150814279436
1118232_21763,35.8703,128.5911,2221.234,1582.38,0.40372982469444746,1.0624469070906513,1,1,410,Republic of Korea,21763,Daegu,AS,73.06211364428727,2418355.962,330299708.6,73218165.47,22.167,296.535,298,11,1243,4,4,273.065,901,0.00732170177276384
1119604_23110,35.7789,-78.6375,1327.234,208.624,5.361847150855127,14.110124081197704,1,1,840,United States of America,23110,Raleigh,"NA",16.848013241960928,466689.967,276413452,7225575.214,2.614,163.123,66,11,1207,16,8,135.697,918,0.0016883764651222546
1122283_20640,35.7705,115.0438,587.744,109.594,4.362921327809917,11.481371915289255,1,1,156,China,20640,Puyang,AS,58.368126460038205,752948.831,128724647.1,128724647.1,100,9.53,57,11,587,16,4,761.866,723,0.005849298078984596
1122287_20527,35.747,114.2956,546.134,98.556,4.541357197938228,11.950939994574284,1,1,156,China,20527,Hebi,AS,51.91691289238646,244009.491,46899493.82,7366980.007,15.708,33.217,315,11,596,16,4,734.109,722,0.005202817154839817
1126563_20035,35.6911,-0.6417,881.119,536.561,0.642159978082641,1.689894679164845,1,1,12,Algeria,20035,Wahran (Oran),AF,70.67401324766445,1215593.028,171629358.7,46230544.77,26.936,0.54,242,12,441,12,12,347.243,745,0.007082663695812085
1132005_23703,35.5967,116.9911,351.475,36.505,8.62813313244761,22.70561350644108,1,1,156,China,23703,Qufu,AS,34.24748331081648,239732.383,69849067.47,18967958.09,27.156,50.781,70,11,666,16,4,776.349,765,0.003432148655427139
1132231_21905,35.5711,-5.3724,406.766,186.011,1.18678465252055,3.1231175066330263,1,1,504,Morocco,21905,TÃ¯Â¿Â½touan,AF,92.89993184468196,455209.666,48892649.5,15202767.79,31.094,0.366,552,12,522,14,12,179.966,647,0.009310390634485865
1133496_20635,35.5392,106.6861,349.254,62.884,4.553940589021055,11.984054181634356,1,1,156,China,20635,Pingliang,AS,147.74298547901807,398906.061,26940450.27,2423832.642,8.997,18.173,1533,9,529,16,10,140.232,686,0.014806955971489781
1135120_22614,35.5148,35.7768,635.841,220.578,1.8826129532410305,4.954244613792186,1,1,760,Syrian Arab Republic,22614,Lattakia,AS,62.18184130431482,509891.099,81819974.21,10194779.72,12.46,0.202,505,14,791,12,12,686.991,760,0.006231865799557797
1139878_23657,35.4672,113.8013,336.388,26.747,11.576662803305043,30.46490211396064,1,1,156,China,23657,Huixian,AS,28.03954820626799,199080.792,70843722.56,61120583.9,86.275,33.217,315,11,596,16,4,734.109,722,0.002810140190351962
1144457_20572,35.4146,116.5847,1449.696,462.026,2.137693549713652,5.625509341351716,1,1,156,China,20572,"Jining, Shandong",AS,71.9548970892901,791503.868,109759633.6,109759633.6,100,50.781,70,11,666,16,4,776.349,765,0.007211247359703286
1149258_22611,35.3322,40.1502,313.629,88.855,2.529671937426144,6.657031414279325,1,1,760,Syrian Arab Republic,22611,Deir El-Zor(Deir ez-Zor),AS,101.1729619382906,222580.516,21950911.11,17678647.85,80.537,756.545,333,14,200,19,8,48.943,536,0.010139921522373656
1149263_23088,35.4675,-97.5164,969.141,615.401,0.5748121956252915,1.5126636726981355,1,1,840,United States of America,23088,Oklahoma City,"NA",12.350058461242115,686663.25,554773647.9,109619966.6,19.759,97.112,791,11,614,13,8,19.312,842,0.0012377358812900457
1149279_21518,35.3144,46.9923,427.643,126.775,2.373243936107276,6.245378779229674,1,1,364,Iran (Islamic Republic of),21518,Sanandaj,AS,54.29714501334872,342072.014,62857168.24,2854017.853,4.54,58.555,1893,9,490,14,4,80.05,774,0.005442052570582044
1149496_20739,35.2989,113.9015,1044.386,398.26,1.6223723195902173,4.269400841026888,1,1,156,China,20739,Xinxiang,AS,67.27228341971167,874539.684,129711265.7,129711265.7,100,33.217,315,11,596,16,4,734.109,722,0.00674220299432326
1150179_22927,35.3573,-119.0317,660.117,223.949,1.947622003223948,5.1253210611156526,1,1,840,United States of America,22927,Bakersfield,"NA",19.4645516460477,615079.832,315296224.7,46418840.35,14.722,14.682,713,12,312,12,8,75.773,951,0.0019507998631611908
1154406_20537,35.2451,115.4598,779.065,68.84,10.317039511911679,27.150103978714945,1,1,156,China,20537,Heze,AS,32.43496779932368,441115.562,135693903.1,135693903.1,100,50.781,70,11,666,16,4,776.349,765,0.0032508134258244356
1163724_21750,35.1461,126.9186,1517.558,718.651,1.1116759038810216,2.9254629049500567,1,1,410,Republic of Korea,21750,Gwangju,AS,73.8503223201916,1447466.317,195554064,18896791.33,9.663,58.03,132,11,1308,16,4,602.24,901,0.007401872849852918
1163725_22612,35.1318,36.7578,893.572,241.442,2.7009799454941557,7.107841961826726,1,1,760,Syrian Arab Republic,22612,Hamah,AS,63.904588616013974,293961.108,45895781.92,7577123.344,16.509,197.443,669,12,543,14,12,213.463,607,0.006404970036514414
1163957_21757,35.1028,129.0403,3466.898,2905.86,0.19307124224842215,0.5080822164432162,2,1,410,Republic of Korea,21757,Busan,AS,78.87569361218227,3604619.198,455964633,32018960.93,7.022,1.812,457,10,1073,2,4,330.848,758,0.007905479805053213
1168247_23063,35.1408,-90.0475,1138.649,775.772,0.4677624353547174,1.2309537772492563,1,1,840,United States of America,23063,Memphis,"NA",12.23511920424206,504086.911,411061116.1,267570458.3,65.093,15360.634,103,11,1324,16,8,174.951,805,0.0012263064815825815
1168260_20777,35.0231,110.9928,617.526,97.705,5.320311140678572,14.0008187912594,1,1,156,China,20777,Yuncheng,AS,68.74155192572724,577429.036,83808307.51,21502493.07,25.657,1004.123,561,11,533,16,4,418.694,736,0.006889878260948071
1168365_22987,35.0667,-78.9176,341.393,216.449,0.5772445241142253,1.5190645371426983,1,1,840,United States of America,22987,Fayetteville,"NA",9.630428066541773,124232.522,128698476.8,12364365.85,9.607,179.062,93,11,1219,16,8,89.093,918,9.652990858086053e-4
1168518_22908,35.1107,-106.61,884.94,420.008,1.1069598674310968,2.913052282713412,1,1,840,United States of America,22908,Albuquerque,"NA",17.262941539847123,778558.663,449971633.1,NA,NA,69.016,1979,9,360,12,13,70.468,889,0.0017302394322865591
1172834_20604,35.0541,118.3334,1843.391,127.756,13.42899746391559,35.33946701030418,1,1,156,China,20604,"Linyi, Shandong",AS,25.763005516994415,1252082.068,484893262.9,173390119.9,35.758,100.308,204,11,783,16,4,588.648,768,0.0025821807886372266
1172857_206156,34.9769,138.3831,2899.394,894.97,2.239654960501469,5.8938288434249175,1,1,392,Japan,206156,Shizuoka-Hamamatsu M.M.A.,AS,20.05093956414397,372947.476,185571692.9,NA,NA,2.005,500,11,1795,4,4,1382.048,906,0.002009721796313903
1177245_20695,34.8988,108.9506,528.034,202.5,1.6075753086419753,4.230461338531514,1,1,156,China,20695,Tongchuan,AS,33.459076346093354,143874.028,42899974.83,1160038.022,2.704,14.359,918,11,576,16,4,413.303,738,0.003353708914052526
1185914_20652,34.7715,111.2038,525.089,75.14,5.988142134681928,15.758268775478756,1,1,156,China,20652,Sanmenxia,AS,68.70668842994492,274826.754,39904781.4,10635225.13,26.652,1363.112,727,11,594,16,4,255.097,726,0.006887063263050478
1185940_23628,34.76,112.9714,478.015,25.284,17.905829773769973,47.12060466781572,1,1,156,China,23628,Gongyi,AS,47.15888036046549,292385.058,61855974.91,8622221.163,13.939,84.227,747,11,683,16,4,400.74,722,0.004726868478355053
1186175_23049,34.742,-92.2754,500.491,295.383,0.6943798390564115,1.8273153659379249,1,1,840,United States of America,23049,Little Rock,"NA",10.490474733478761,156308.074,148643535.7,60157148.01,40.471,1267.921,95,11,1275,16,4,93.48,797,0.001051563213051316
1187067_23919,34.7293,112.7799,457.357,14.543,30.44860070136836,80.12789658254832,1,1,156,China,23919,Yanshi,AS,67.91534453218684,264869.844,38909820.86,25931238.83,66.644,84.227,747,11,683,16,4,400.74,722,0.006807274825371684
1190259_22613,34.7318,36.7181,1295.317,387.454,2.3431504126941523,6.166185296563559,1,1,760,Syrian Arab Republic,22613,Hims (Homs),AS,66.82260332374284,815235.761,121711351,9425612.791,7.744,197.443,669,12,543,14,12,213.463,607,0.006698107894636714
1190263_23016,34.7297,-86.5898,366.024,154.45,1.3698543217869863,3.60487979417628,1,1,840,United States of America,23016,Huntsville,"NA",12.194981796981152,108535.338,88790301.21,18756085.61,21.124,2039.762,264,11,1437,2,4,47.135,811,0.0012223783061992386
1190598_21898,34.6805,-1.9076,535.609,240.845,1.2238742759866303,3.2207217789121856,1,1,504,Morocco,21898,Oujda,AF,87.70381126143751,561304.392,63848162.79,1579670.368,2.474,6.195,731,12,434,12,12,176.692,716,0.008791237953802367
1190992_204583,35.1815,136.9064,9507.076,7777.328,0.2224090330252239,0.5852869290137471,1,1,392,Japan,204583,Chukyo M.M.A. (Nagoya),AS,30.50561541562849,8105342.016,2650947641,621566439.6,23.447,2.005,500,11,1795,4,4,1382.048,906,0.0030575262561362672
1194479_20612,34.6186,112.4562,2235.708,538.304,3.153244263464511,8.29801121964345,1,1,156,China,20612,Luoyang,AS,47.5933016372811,1775230.151,372114789.4,86041324.72,23.122,84.227,747,11,683,16,4,400.74,722,0.0047706519643102374
1196145_20597,34.5969,119.1758,1703.203,376.845,3.519638047473099,9.262205388087102,1,1,156,China,20597,Lianyungang,AS,81.2256651044658,820379.218,100758390,48851419.12,48.484,30.665,26,11,842,16,4,631.805,790,0.008142043734521761
1197477_20691,34.5809,105.7237,714.451,168.783,3.2329559256560203,8.50777875172637,1,1,156,China,20691,Tianshui,AS,105.41893929803325,516552.803,48882827.79,9110372.781,18.637,200.569,1216,11,675,16,4,506.451,725,0.01056716287402816
